,towns,lon,lat
510,"Chesterville, Maine",-70.0861692,44.5511745
511,"Chesterville, Massachusetts",-71.3824374,42.4072107
512,"Chichester, New Hampshire",-71.3997909,43.2492477
513,"Chili, New York",-77.7680952,43.0765843
514,"Chilmark, Massachusetts",-70.7447501,41.3431688
515,"China, Maine",-69.5172641,44.4786791
516,"China, Massachusetts",-71.0598646,42.3512662
517,"Chittenden, Vermont",-72.9428417,43.7271064
518,"Chittendon, Vermont",-72.9428417,43.7271064
519,"Choconut, Pennsylvania",-75.9996436,41.9786861
520,"Christian, Arkansas",-87.4117982,36.6667352
521,"Churchtown, Pennsylvania",-75.9646642,40.133153
522,"Cicero, New York",-76.1141646,43.1763158
523,"Cincinnatus, New York",-75.8957534,42.5422923
524,"Cinque Homme, Missouri",-91.8318334,37.9642529
525,"Clairborne, Alabama",-87.5155464,31.5401611
